director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,bow
Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Mystery Thriller,insidious: the last key,lin shaye angus sampson leigh whannell adam robitel horror mystery thriller
Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Thriller Drama,the strange ones,alex pettyfer james freedson-jackson emily althaus lauren wolkstein thriller drama
Warwick Thornton,Bryan Brown,Sam Neill,,Drama History Western,sweet country,bryan brown sam neill  warwick thornton drama history western
Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller,the commuter,liam neeson vera farmiga patrick wilson jaume collet-serra action thriller
Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Thriller Action Crime,proud mary,taraji p. henson billy brown danny glover babak najafi thriller action crime
Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action,acts of violence,bruce willis cole hauser shawn ashmore brett donowho action
Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Comedy Drama,freak show,alex lawther abigail breslin bette midler trudie styler comedy drama
Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me,jemaine clement elliott gould ingrid michaelson sam hoffman comedy
Daniela Thomas,Adriano Carvalho,Luana Nastas,,Drama,vazante,adriano carvalho luana nastas  daniela thomas drama
Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Fantasy Adventure Animation,mary and the witch's flower,ruby barnhill louis ashbourne serkis kate winslet hiromasa yonebayashi fantasy adventure animation
Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,War Drama Action History,12 strong,chris hemsworth michael shannon michael peña nicolai fuglsig war drama action history
Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Action Thriller Crime,den of thieves,gerard butler 50 cent pablo schreiber christian gudegast action thriller crime
Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama Music,forever my girl,alex roe jessica rothe john benjamin hickey bethany ashton wolf romance drama music
Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Science Fiction Action,maze runner: the death cure,dylan o'brien kaya scodelario thomas brodie-sangster wes ball science fiction action
Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Comedy Crime,the insult,adel karam camille salameh kamel el basha ziad doueiri comedy crime
Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by,dakota fanning toni collette alice eve ben lewin comedy drama
The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Thriller Horror,winchester,helen mirren jason clarke sarah snook the spierig brothers thriller horror
Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Action Horror Thriller,armed,mario van peebles william fichtner ryan guzman mario van peebles action horror thriller
Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie,Horror Science Fiction Action Thriller,the cloverfield paradox,daniel brühl elizabeth debicki aksel hennie julius onah horror science fiction action thriller
Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Horror,bad apples,brea grant graham skipper aly fitzgerald bryan coyne horror
Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,Animation Adventure Family,peter rabbit,james corden domhnall gleeson rose byrne will gluck animation adventure family
James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,Drama Romance,fifty shades freed,dakota johnson jamie dornan kim basinger james foley drama romance
Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,History Drama Thriller,the 15:17 to paris,anthony sadler alek skarlatos spencer stone clint eastwood history drama thriller
Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Marimar Vega,Ryan Carnes,Comedy,la boda de valentina,marco polo constandse (director); omar chaparro marimar vega ryan carnes marco polo constandse comedy
Surendra Poudel,Anmol K.C.,Aditi Budhathoki,Anoop Bikram Shahi,,kri,anmol k.c. aditi budhathoki anoop bikram shahi surendra poudel 
Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost,,monster family,emily watson jason isaacs nick frost holger tappe 
Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Drama,golden exits,emily browning adam horowitz mary-louise parker alex ross perry drama
,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action Adventure Science Fiction,black panther,chadwick boseman michael b. jordan lupita nyong'o  action adventure science fiction
Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Family Comedy Animation Adventure,early man,eddie redmayne tom hiddleston maisie williams nick park family comedy animation adventure
Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Comedy,the party,timothy spall kristin scott thomas patricia clarkson sally potter comedy
Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn,Drama,nostalgia,jon hamm nick offerman amber tamblyn mark pellington drama
Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea,Drama Western,black '47,hugo weaving jim broadbent stephen rea lance daly drama western
Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Action Drama Adventure,samson,taylor james jackson rathbone billy zane bruce macdonald action drama adventure
"Jonathan Goldstein, John Francis Daley",Jason Bateman,Rachel McAdams,Kyle Chandler,Mystery Comedy Crime,game night,"jason bateman rachel mcadams kyle chandler jonathan goldstein, john francis daley mystery comedy crime"
Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Action Science Fiction Horror Mystery,annihilation,natalie portman jennifer jason leigh gina rodriguez alex garland action science fiction horror mystery
Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan,Drama Fantasy Romance,every day,angourie rice maria bello debby ryan michael sucsy drama fantasy romance
David Freyne,David Freyne (director); Ellen Page,Sam Keeley,Tom Vaughan-Lawlor,Horror Drama Science Fiction,the cured,david freyne (director); ellen page sam keeley tom vaughan-lawlor david freyne horror drama science fiction
Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon,Drama Horror Romance Thriller,the lodgers,charlotte vega bill milner eugene simon brian o'malley drama horror romance thriller
Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Mystery Thriller,red sparrow,jennifer lawrence joel edgerton matthias schoenaerts francis lawrence mystery thriller
Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris,Action Crime Drama Thriller,death wish,bruce willis vincent d'onofrio dean norris eli roth action crime drama thriller
Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Mystery Drama,the vanishing of sidney hall,logan lerman elle fanning michelle monaghan shawn christensen mystery drama
Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonatan Shiray,Comedy Drama War,foxtrot,lior ashkenazi sarah adler yonatan shiray samuel maoz comedy drama war
Usher Morgan,Elyse Price,Joel Bernard,Katie Vincent,Action Crime Thriller Drama Mystery,pickings,elyse price joel bernard katie vincent usher morgan action crime thriller drama mystery
Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Adventure Science Fiction Family Fantasy,a wrinkle in time,storm reid oprah winfrey reese witherspoon ava duvernay adventure science fiction family fantasy
Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,Comedy Action,gringo,david oyelowo charlize theron joel edgerton nash edgerton comedy action
Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Drama Thriller,thoroughbreds,olivia cooke anya taylor-joy anton yelchin cory finley drama thriller
Armando Iannucci,Steve Buscemi,Simon Russell Beale,Paddy Considine,Comedy Drama History,the death of stalin,steve buscemi simon russell beale paddy considine armando iannucci comedy drama history
Paolo Virzì,Donald Sutherland,Helen Mirren,,Drama Romance Adventure,the leisure seeker,donald sutherland helen mirren  paolo virzì drama romance adventure
Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Horror Thriller,the strangers: prey at night,christina hendricks martin henderson bailee madison johannes roberts horror thriller
Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Action Crime Thriller,the hurricane heist,toby kebbell maggie grace ryan kwanten rob cohen action crime thriller
Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Action Adventure Fantasy,tomb raider,alicia vikander dominic west walton goggins roar uthaug action adventure fantasy
Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp,Comedy Drama Romance,"love, simon",nick robinson katherine langford alexandra shipp greg berlanti comedy drama romance
Jon Erwin,Cloris Leachman,Dennis Quaid,Priscilla Shirer,Music Drama,i can only imagine,cloris leachman dennis quaid priscilla shirer jon erwin music drama
José Padilha,Rosamund Pike,Daniel Brühl,Vincent Cassel,Thriller Drama Crime,7 days in entebbe,rosamund pike daniel brühl vincent cassel josé padilha thriller drama crime
Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony,Comedy,furlough,melissa leo tessa thompson la la anthony laurie collyer comedy
Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Thriller Drama,josie,sophie turner dylan mcdermott jack kilmer eric england thriller drama
Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Drama Comedy,flower,zoey deutch kathryn hahn tim heidecker max winkler drama comedy
Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,Action Fantasy Science Fiction Adventure,pacific rim: uprising,john boyega scott eastwood cailee spaeny steven s. deknight action fantasy science fiction adventure
Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Adventure Comedy Animation,isle of dogs,bryan cranston edward norton bill murray wes anderson adventure comedy animation
John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes,james mcavoy emily blunt johnny depp john stevenson animation family fantasy comedy adventure mystery
Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Horror Thriller,unsane,claire foy joshua leonard jay pharoah steven soderbergh horror thriller
Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,History Drama,"paul, apostle of christ",james faulkner jim caviezel olivier martinez andrew hyatt history drama
Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,Drama History,final portrait,geoffrey rush armie hammer clémence poésy stanley tucci drama history
Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Romance Drama,midnight sun,bella thorne patrick schwarzenegger rob riggle scott speer romance drama
Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria,Thriller,followers,amanda delaney justin maina sean michael gloria ryan justice thriller
Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Science Fiction Adventure Action,ready player one,tye sheridan olivia cooke ben mendelsohn steven spielberg science fiction adventure action
